Comment,Label,
Vanhu vazhinji vari kufa nekuda kweclinic yakashata yekuno,1,
Haa kuWard  4 hamutorina kana clinic zvayoo,1,
Saka muri kutoti Ngorima iclinic ingabetsera vanhu here nhai vakuru,1,
Ko madii kungoisa vana mbuya Nyamukuta vanobharwa necouncil,1,
Kuno kuWard 25 hatina clinic iriko yacho idiki haikwanisi kbetsera vanhu vakawanda ,1,
Manurse acho haasi kumuka usiku  kana tichida kubetserwa ,1,
Haa Silveira Hospital nekukura kayo haina ambulance zvinoita here izvozvo,1,
Maclinic ezita aya anoshaikwa chero paracetamol,1,
ini hangu zvipatara zvehurumende handioni kushanda kwazvo,1,
Umm kuno kwaMupamaonde makatigonera now hatisina problem nevanorara kungoenda kuhospital,1,
Chikuku clinic yakuda kuwedzera mamwe maards evarume iyi,1,
Tinodawo imba yevakadzi vanorindira paMuvava,1,
Madii mavaka imwe clinic kuno kuward 35 nekuti umm tarwadziwa nekufamba ,1,
Asi hamuoni kuti kbva paMuvhuti kuenda kwaNyika kure panoda clinic paya ,1,
Chero mukavaka maclinic zvinobetserei iwo asina mushonga,1,
Saka isu vanogara paChitenderano hatina kukosha kaa nekuti kune maclinics achoo kure,1,
Ini sekuru vangu vakafa nao maclinics enyu ayaa,1,
Munoita zvekutamba imi maclinics anoda kuvakwa muWards ose,1,
Madii kungoti  village imwe neimwe inenge ine 2 maclinics ,1,
Ikozvino chimbotengai ma ambulance chero matatutu hawo,1,
Muri kuita basa rekugadzira maclinic akadhakwa,1,
Hospital yeMashoko inoda kuwedzerwa kuvakwa iyo ,1,
Isu ve Ward 6 tinodawo clinic paGudo pachikoro,1,
Haa varume  msadero sekuru vangu vakafa nekuda kwekushaikwa kwezvipatara ikoko,1,
Mapitsi hamuna muzvipatara umuu ,1,
Vanhu vari kufa nekuda kemaclinic ari kure ,1,
Vanhu vari kusvika kuma clinic vatowedzera kurwara nekuda kwekufamba longa ,1,
Kuno kuard 8 to maclinics kungori ne 1 yaiva imba yemurungu,1,
Haa msadero vakomana munoda kuti zvipatara zvivakwe iwo manurse acho asingapuhwi mari,1,
Haa district redu soo kungogwarira zvipatara zvakasiiwa nevarungu,1,
,,
You are cowards,0,1
You are doing well,1,1
Are stands still available,0,1
Why your stands are so expensive ,0,1
Can you reduce the price of stands ,1,1
when have it started to use USD for buying stands,0,1
You are stealing a lot of stands,0,1
Road from Mashoko needs to be tarred ,1,
Road that goes to Mukore is now dangerous ,1,
You are guys u are joking ,0,
With this condition of roads ,0,
But why doing this to us the condition of roads is very shamefull,-1,
I hate what you are doing in this district ,-1,
Don’t do this to us guys you are provoking us what a shamefull road ,-1,
The road to ward 25 is soo bad why can you upgrade it,1,
At Msaizi there is no bridge ,1,
You guys you are playing with rate payers money can please be realistic,-1,
We need road signs at Bikita Minerals ,1,
Put humps at Pamushana so that people will reduce speed,1,
Chikuku terminus must be changed ,1,
Janet road need to be gravelled,1,
Duma roads are quite good,0,
I want tothat Nerumedzo road is now beatifull,1,
,,
,,
,,
You guys you are playing with rate payers money can please be realistic,0,
We need road signs at Bikita Minerals ,1,
Put humps at Pamushana so that people will reduce speed,1,
Chikuku terminus must be changed ,1,
Janet road need to be gravelled,1,
Duma roads are quite good,0,
I want tothat Nerumedzo road is now beatifull,1,
